,filename,starttime,endtime,npts,sampling_rate,min,max,mean
31,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHN.SAC,2021-10-06T15:13:54.720000Z,2021-10-06T15:13:59.720000Z,501,100.0,0.0,0.0,0.0
32,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHZ.SAC,2021-10-06T15:13:53.600000Z,2021-10-06T15:13:58.600000Z,501,100.0,0.0,0.0,0.0
33,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHE.SAC,2021-10-06T15:16:07.610000Z,2021-10-06T15:16:12.610000Z,501,100.0,0.0,0.0,0.0
34,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHN.SAC,2021-10-06T15:16:09.670000Z,2021-10-06T15:16:14.670000Z,501,100.0,0.0,0.0,0.0
35,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHZ.SAC,2021-10-06T15:16:09.660000Z,2021-10-06T15:16:14.660000Z,501,100.0,0.0,0.0,0.0
36,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHE.SAC,2021-10-06T15:16:19.660000Z,2021-10-06T15:16:24.660000Z,501,100.0,0.0,0.0,0.0
37,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHN.SAC,2021-10-06T15:16:23.460000Z,2021-10-06T15:16:28.460000Z,501,100.0,0.0,0.0,0.0
38,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHZ.SAC,2021-10-06T15:16:22.830000Z,2021-10-06T15:16:27.830000Z,501,100.0,0.0,0.0,0.0
39,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHE.SAC,2021-10-06T15:16:31.920000Z,2021-10-06T15:16:36.920000Z,501,100.0,0.0,0.0,0.0
40,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHN.SAC,2021-10-06T15:16:33.880000Z,2021-10-06T15:16:38.880000Z,501,100.0,0.0,0.0,0.0
41,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHZ.SAC,2021-10-06T15:16:33.760000Z,2021-10-06T15:16:38.760000Z,501,100.0,0.0,0.0,0.0
42,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHE.SAC,2021-10-06T15:16:47.570000Z,2021-10-06T15:16:52.570000Z,501,100.0,0.0,0.0,0.0
43,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHN.SAC,2021-10-06T15:16:47.150000Z,2021-10-06T15:16:52.150000Z,501,100.0,0.0,0.0,0.0
44,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHZ.SAC,2021-10-06T15:16:49.160000Z,2021-10-06T15:16:54.160000Z,501,100.0,0.0,0.0,0.0
45,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHE.SAC,2021-10-06T15:17:14.300000Z,2021-10-06T15:17:19.300000Z,501,100.0,0.0,0.0,0.0
46,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHN.SAC,2021-10-06T15:17:14.480000Z,2021-10-06T15:17:19.480000Z,501,100.0,0.0,0.0,0.0
47,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHZ.SAC,2021-10-06T15:17:13.990000Z,2021-10-06T15:17:18.990000Z,501,100.0,0.0,0.0,0.0
48,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHE.SAC,2021-10-06T15:17:27.820000Z,2021-10-06T15:17:32.820000Z,501,100.0,0.0,0.0,0.0
49,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHN.SAC,2021-10-06T15:17:24.940000Z,2021-10-06T15:17:29.940000Z,501,100.0,0.0,0.0,0.0
50,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHZ.SAC,2021-10-06T15:17:26.040000Z,2021-10-06T15:17:31.040000Z,501,100.0,0.0,0.0,0.0
51,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHE.SAC,2021-10-06T15:17:39.890000Z,2021-10-06T15:17:44.890000Z,501,100.0,0.0,0.0,0.0
52,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHN.SAC,2021-10-06T15:17:36.850000Z,2021-10-06T15:17:41.850000Z,501,100.0,0.0,0.0,0.0
53,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHZ.SAC,2021-10-06T15:17:36.760000Z,2021-10-06T15:17:41.760000Z,501,100.0,0.0,0.0,0.0
54,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHE.SAC,2021-10-06T15:17:48.690000Z,2021-10-06T15:17:53.690000Z,501,100.0,0.0,0.0,0.0
55,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHN.SAC,2021-10-06T15:17:47.250000Z,2021-10-06T15:17:52.250000Z,501,100.0,0.0,0.0,0.0
56,/network/projects/aia/whale_call/RAW/20211006/2021.10.06.CN.PMAQ..HHZ.SAC,2021-10-06T15:17:48.790000Z,2021-10-06T15:17:53.790000Z,501,100.0,0.0,0.0,0.0
57,/network/projects/aia/whale_call/RAW/20201005/2020.10.05.CN.SMQ..EHZ.SAC,2020-10-05T04:25:46.360000Z,2020-10-05T04:25:51.360000Z,501,100.0,0.0,0.0,0.0
58,/network/projects/aia/whale_call/RAW/20201005/2020.10.05.CN.SMQ..EHZ.SAC,2020-10-05T04:25:58.770000Z,2020-10-05T04:26:03.770000Z,501,100.0,0.0,0.0,0.0
59,/network/projects/aia/whale_call/RAW/20201005/2020.10.05.CN.SMQ..EHZ.SAC,2020-10-05T06:50:10.240000Z,2020-10-05T06:50:15.240000Z,501,100.0,-305.0,396.0,0.0
60,/network/projects/aia/whale_call/RAW/20201005/2020.10.05.CN.SMQ..EHZ.SAC,2020-10-05T06:51:33.380000Z,2020-10-05T06:51:38.380000Z,501,100.0,0.0,0.0,0.0
61,/network/projects/aia/whale_call/RAW/20201005/2020.10.05.CN.SMQ..EHZ.SAC,2020-10-05T06:51:44.650000Z,2020-10-05T06:51:49.650000Z,501,100.0,0.0,0.0,0.0
62,/network/projects/aia/whale_call/RAW/20201006/2020.10.06.CN.SMQ..EHZ.SAC,2020-10-06T01:05:43.370000Z,2020-10-06T01:05:48.370000Z,501,100.0,0.0,0.0,0.0
63,/network/projects/aia/whale_call/RAW/20201006/2020.10.06.CN.SMQ..EHZ.SAC,2020-10-06T01:05:55.230000Z,2020-10-06T01:06:00.230000Z,501,100.0,0.0,0.0,0.0
64,/network/projects/aia/whale_call/RAW/20201006/2020.10.06.CN.SMQ..EHZ.SAC,2020-10-06T09:35:30.020000Z,2020-10-06T09:35:35.020000Z,501,100.0,0.0,0.0,0.0
65,/network/projects/aia/whale_call/RAW/20201006/2020.10.06.CN.SMQ..EHZ.SAC,2020-10-06T09:35:39.140000Z,2020-10-06T09:35:44.140000Z,501,100.0,0.0,0.0,0.0
